1993/06/08	1993/SN+//SP+06/SN+//SP+08/SN
離散가족	離散/SH+가족/NNG
고향방문단과	고향/NNG+방문단/NNG+과/JC
예술공연단과	예술/NNG+공연단/NNG+과/JC
예술공연단이	예술/NNG+공연단/NNG+이/JKS
교환방문한	교환/NNG+방문/NNG+하/XSV+ㄴ/ETM
3돌이	3/SN+돌/NNB+이/JKC
3년전	3/SN+년/NNB+전/NNG
50명씩의	50/SN+명/NNB+씩/XSN+의/JKG
규모에다	규모/NNG+에다/JKB
3박	3/SN+박/NNB
4일간이라는	4/SN+일/NNB+간/NNG+이/VCP+라는/ETM
일정이었지만	일정/NNG+이/VCP+었/EP+지만/EC
이산가족들이	이산가족/NNG+들/XSN+이/JKS
板門店	板門店/SH
군사분계선을	군사/NNG+분계선/NNG+을/JKO
血肉과	血肉/SH+과/JC
상봉했을	상봉/NNG+하/XSV+았/EP+을/ETM
온겨레는	온/MM+겨레/NNG+는/JX
끓어오르는	끓어오르/VV+는/ETM
설렘	설레/VV+ㅁ/ETN
지켜보았었다.	지켜보/VV+았었/EP+다/EF+./SF
초반의	초반/NNG+의/JKG
白髮의	白髮/SH+의/JKG
8旬老母	8/SN+旬老母/SH
엎드려	엎드리/VV+어/EC
형제가	형제/NNG+가/JKS
노인으로	노인/NNG+으로/JKB
울부짖을	울부짖/VV+을/ETM
흘리지	흘리/VV+지/EC
人倫이	人倫/SH+이/JKS
이념과	이념/NNG+과/JC
계산	계산/NNG
녹이는	녹이/VV+는/ETM
순간들이었다.	순간/NNG+들/XSN+이/VCP+었/EP+다/EF+./SF
이데올로기와	이데올로기/NNG+와/JC
통일은	통일/NNG+은/JX
어렵다	어렵/VA+다/EC
인도적	인도/NNG+적/XSN
견지에서	견지/NNG+에서/JKB
이산가족의	이산가족/NNG+의/JKG
왕래는	왕래/NNG+는/JX
간절히	간절히/MAG
바랐었다.	바라/VV+았었/EP+다/EF+./SF
피끓는	피/NNG+끓/VV+는/ETM
바람은	바람/NNG+은/JX
팀스피리트	팀스피리트/NNG
트집잡아	트집/NNG+잡/VV+아/EC
무산시킨	무산/NNG+시키/XSV+ㄴ/ETM
오늘에	오늘/NNG+에/JKB
중단된	중단/NNG+되/XSV+ㄴ/ETM
남북이산가족들의	남북/NNP+이산가족/NNG+들/XSN+의/JKG
교환방문을	교환/NNG+방문/NNG+을/JKO
하루라도	하루/NNG+이/VCP+라도/EC
재개하여	재개/NNG+하/XSV+아/EC
쌓이고	쌓이/VV+고/EC
恨과	恨/SH+과/JC
풀어줄	풀/VV+어/EC+주/VX+ㄹ/ETM
화제로	화제/NNG+로/JKB
파묻혀	파묻히/VV+어/EC
선수·임원·관계자들	선수/NNG+·/SP+임원/NNG+·/SP+관계자/NNG+들/XSN
친척들과	친척/NNG+들/XSN+과/JKB
소식들을	소식/NNG+들/XSN+을/JKO
金浦공항은	金浦/SH+공항/NNG+은/JX
한국系	한국/NNP+系/SH
인사와	인사/NNG+와/JC
혈육들의	혈육/NNG+들/XSN+의/JKG
감격적인	감격/NNG+적/XSN+이/VCP+ㄴ/ETM
상봉으로	상봉/NNG+으로/JKB
이따금	이따금/MAG
눈물의	눈물/NNG+의/JKG
바다를	바다/NNG+를/JKO
그렇게도	그렇/VA+게/EC+도/JX
중국등의	중국/NNP+등/NNB+의/JKG
동포들과도	동포/NNG+들/XSN+과/JKB+도/JX
재회가	재회/NNG+가/JKS
이뤄지고	이루어지/VV+고/EC
흩어진	흩어지/VV+ㄴ/ETM
同族이	同族/SH+이/JKS
만나지	만나/VV+지/EC
인도주의에	인도주의/NNG+에/JKB
처사이며	처사/NNG+이/VCP+며/EC
국제적으로도	국제/NNG+적/XSN+으로/JKB+도/JX
일인	일/NNG+이/VCP+ㄴ/ETM
70년대초부터	70/SN+년대/NNB+초/NNB+부터/JX
왕래를	왕래/NNG+를/JKO
늘려가고있는	늘리/VV+어/EC+가/VX+고/EC+있/VX+는/ETM
동서독은	동서독/NNP+은/JX
近年에	近年/SH+에/JKB
臺灣人들의	臺灣人/SH+들/XSN+의/JKG
本土가족	本土/SH+가족/NNG
전폭적으로	전폭/NNG+적/XSN+으로/JKB
허용하여	허용/NNG+하/XSV+아/EC
分斷의	分斷/SH+의/JKG
좁혀가는	좁히/VV+어/EC+가/VX+는/ETM
북한측이	북한/NNP+측/NNB+이/JKS
거부의	거부/NNG+의/JKG
처사가	처사/NNG+가/JKC
무드속에	무드/NNG+속/NNG+에/JKB
공산국가들이	공산/NNG+국가/NNG+들/XSN+이/JKS
접어둔	접/VV+어/EC+두/VX+ㄴ/ETM
올림픽후에는	올림픽/NNG+후/NNG+에/JKB+는/JX
늘려갈	늘리/VV+어/EC+가/VX+ㄹ/ETM
언제까지나	언제/NP+까지/JX+나/JX
인도주의마저	인도주의/NNG+마저/JX
닫아	닫/VV+아/EC
혼자서	혼자/NNG+서/JKS
정신을	정신/NNG+을/JKO
준수한다면	준수/NNG+하/XSV+ㄴ다면/EC
접촉은	접촉/NNG+은/JX
제쳐두고라도	제치/VV+어/EC+두/VX+고/EC+이/VCP+라도/EC
늙고	늙/VV+고/EC
병들어	병들/VV+어/EC
생전에	생전/NNG+에/JKB
血肉상봉	血肉/SH+상봉/NNG
홀·짝수의	홀/NNG+·/SP+짝수/NNG+의/JKG
遁甲	遁甲/SH
솔선수범은	솔선수범/NNG+은/JX
공동생활에서	공동생활/NNG+에서/JKB
발휘되는	발휘/NNG+되/XSV+는/ETM
미덕이다.	미덕/NNG+이/VCP+다/EF+./SF
양보하고,	양보/NNG+하/XSV+고/EC+,/SP
떠맡는다.	떠맡/VV+는다/EF+./SF
자발적으로	자발/NNG+적/XSN+으로/JKB
행동하며	행동/NNG+하/XSV+며/EC
속마음은	속마음/NNG+은/JX
겸손하다.	겸손/NNG+하/XSA+다/EF+./SF
남에게	남/NNG+에게/JKB
지시하고	지시/NNG+하/XSV+고/EC
독려하기보다	독려/NNG+하/XSV+기/ETN+보다/JKB
실천하는	실천/NNG+하/XSV+는/ETM
자세는	자세/NNG+는/JX
지도층에	지도/NNG+층/XSN+에/JKB
특권의식이란	특권/NNG+의식/NNG+이란/JX
핑계	핑계/NNG
거드름에	거드름/NNG+에/JKB
공공의	공공/NNG+의/JKG
편익을	편익/NNG+을/JKO
당부하면서	당부/NNG+하/XSV+면서/EC
자기만은	자기/NP+만/JX+은/JX
예외자	예외자/NNG
바쁘다는	바쁘/VA+다는/ETM
이유를	이유/NNG+를/JKO
체면유지에만	체면/NNG+유지/NNG+에/JKB+만/JX
급급하는	급급/XR+하/XSA+는/ETM
특권의식은	특권/NNG+의식/NNG+은/JX
사회에서나	사회/NNG+에서/JKB+나/JX
부덕으로	부덕/NNG+으로/JKB
손꼽는다.	손꼽/VV+는다/EF+./SF
공동체의	공동체/NNG+의/JKG
공적이기	공/NNG+적/XSN+이/VCP+기/ETN
준비하면서	준비/NNG+하/XSV+면서/EC
협조와	협조/NNG+와/JC
당부의	당부/NNG+의/JKG
말씀을	말씀/NNG+을/JKO
따갑도록	따갑/VA+도록/EC
관주도의	관/NNG+주도/NNG+의/JKG
지시나	지시/NNG+나/JC
설교조의	설교/NNG+조/NNB+의/JKG
요청이었다.	요청/NNG+이/VCP+었/EP+다/EF+./SF
전개되는	전개/NNG+되/XSV+는/ETM
개막의	개막/NNG+의/JKG
성공이	성공/NNG+이/JKS
착각이라	착각/NNG+이/VCP+라/EC
이만한	이만/XR+하/XSA+ㄴ/ETM
자발적	자발/NNG+적/XSN
참여의	참여/NNG+의/JKG
돌려	돌리/VV+어/EC
서울대회를	서울/NNP+대회/NNG+를/JKO
고민거리는	고민거리/NNG+는/JX
교통이었음은	교통/NNG+이/VCP+었/EP+음/ETN+은/JX
서울시가	서울시/NNP+가/JKS
궁여지책으로	궁여지책/NNG+으로/JKB
운행방안을	운행/NNG+방안/NNG+을/JKO
내놓았을	내놓/VV+았/EP+을/ETM
올릴지	올리/VV+ㄹ지/EC
의문스러웠다.	의문/NNG+스럽/XSA+었/EP+다/EF+./SF
참여도였다.	참여/NNG+도/NNG+이/VCP+었/EP+다/EF+./SF
실시되고보니	실시/NNG+되/XSV+고/EC+보/VX+니/EC
체증은	체증/NNG+은/JX
확	확/MAG
자부심은	자부심/NNG+은/JX
가을하늘처럼	가을/NNG+하늘/NNG+처럼/JKB
드높아졌다.	드높/VA+아/EC+지/VX+었/EP+다/EF+./SF
관의	관/NNG+의/JKG
노파심도	노파심/NNG+도/JX
씻은	씻/VV+은/ETM
가셨다.	가/VV+시/EP+었/EP+다/EF+./SF
지나며	지나/VV+며/EC
극소수의	극소수/NNG+의/JKG
비협조가	비/XPN+협조/NNG+가/JKS
눈의	눈/NNG+의/JKG
가시로	가시/NNG+로/JKB
교통은	교통/NNG+은/JX
서울시민의	서울/NNP+시민/NNG+의/JKG
메달감이	메달감/NNG+이/JKS
옥의	옥/NNG+의/JKG
티인가.	티/NNG+이/VCP+ㄴ가/EF+./SF
솔선수범해야	솔선수범/NNG+하/XSV+아야/EC
서울시장의	서울/NNP+시장/NNG+의/JKG
승용차가	승용차/NNG+가/JKS
홀·짝수를	홀/NNG+·/SP+짝수/NNG+를/JKO
무시하며	무시/NNG+하/XSV+며/EC
가족에	가족/NNG+에/JKB
간곡한	간곡/XR+하/XSA+ㄴ/ETM
협조문까지	협조문/NNG+까지/JX
발송한	발송/NNG+하/XSV+ㄴ/ETM
수장이	수장/NNG+이/JKS
번호판을	번호판/NNG+을/JKO
불법으로	불법/NNG+으로/JKB
바꿔달고	바꾸/VV+어/EC+달/VX+고/EC
다녔다니	다니/VV+었/EP+다니/EC
씁쓸한	씁쓸/XR+하/XSA+ㄴ/ETM
배신감마저	배신감/NNG+마저/JX
주최하는	주최/NNG+하/XSV+는/ETM
도시의	도시/NNG+의/JKG
시장으로	시장/NNG+으로/JKB
일정에	일정/NNG+에/JKB
다망한	다망/NNG+하/XSA+ㄴ/ETM
공무를	공무/NNG+를/JKO
분초를	분초/NNG+를/JKO
아껴써야	아끼/VV+어/EC+쓰/VV+어야/EC
함은	하/VX+ㅁ/ETN+은/JX
승용차를	승용차/NNG+를/JKO
차량	차량/NNG
운행증을	운행증/NNG+을/JKO
양해를	양해/NNG+를/JKO
구하면	구하/VV+면/EC
불쾌하게	불쾌/XR+하/XSA+게/EC
언행이	언행/NNG+이/JKS
특권의식이다.	특권/NNG+의식/NNG+이/VCP+다/EF+./SF
눈총쯤은	눈총/NNG+쯤/XSN+은/JX
아랑곳	아랑곳/NNG
눈가림하려	눈가림/NNG+하/XSV+려/EC
드는	들/VV+는/ETM
못마땅하다는	못마땅/XR+하/XSA+다는/ETM
시장이라	시장/NNG+이/VCP+라/EC
하여도	하/VV+아도/EC
나누며	나누/VV+며/EC
직무에	직무/NNG+에/JKB
충실해	충실/NNG+하/XSA+아/EC
위정자와	위정자/NNG+와/JC
권력층에	권력/NNG+층/XSN+에/JKB
전해주고	전하/VV+아/EC+주/VX+고/EC
소망임을	소망/NNG+이/VCP+ㅁ/ETN+을/JKO
복싱競技場의	복싱/NNG+競技場/SH+의/JKG
추태	추태/NNG
重要한	重要/SH+하/XSV+ㄴ/ETM
잃다니	잃/VV+다니/EC
우리들은	우리/NP+들/XSN+은/JX
온세계	온/MM+세계/NNG
어우러지는	어우러지/VV+는/ETM
장면,	장면/NNG+,/SP
바라보면서	바라보/VV+면서/EC
현기증을	현기증/NNG+을/JKO
지경이다.	지경/NNB+이/VCP+다/EF+./SF
우리들뿐	우리/NP+들/XSN+뿐/JX
사람들도	사람/NNG+들/XSN+도/JX
비슷하다.	비슷/XR+하/XSA+다/EF+./SF
여럿이	여럿/NNG+이/JKS
조화되어	조화/NNG+되/XSV+어/EC
덩어리가	덩어리/NNG+가/JKC
한판을	한판/NNG+을/JKO
아름다움이기	아름답/VA+ㅁ/ETN+에서/JKB+이/VCP+기/ETN
조화의	조화/NNG+의/JKG
조직하여	조직/NNG+하/XSV+아/EC
보기좋게	보/VV+기/ETN+좋/VA+게/EC
개막하고	개막/NNG+하/XSV+고/EC
진행한다	진행/NNG+하/XSV+ㄴ다/EC
뿌듯하게	뿌듯/XR+하/XSA+게/EC
생각하던	생각/NNG+하/XSV+던/ETM
그럴수록	그렇/VA+ㄹ수록/EC
잔치를	잔치/NNG+를/JKO
주인의	주인/NNG+의/JKG
처신은	처신/NNG+은/JX
정중하고	정중/XR+하/XSA+고/EC
겸양하여	겸양/NNG+하/XSV+아/EC
흐트러짐이	흐트러지/VV+ㅁ/ETN+이/JKS
동서고금에	동서고금/NNG+에/JKB
도리이다.	도리/NNG+이/VCP+다/EF+./SF
엿새째인	엿새/NNG+째/XSN+이/VCP+ㄴ/ETM
학생체육관에서	학생/NNG+체육관/NNG+에서/JKB
예선	예선/NNG
경기끝에	경기/NNG+끝/NNG+에/JKB
벌어진	벌어지/VV+ㄴ/ETM
부끄럽고	부끄럽/VA+고/EC
오점을	오점/NNG+을/JKO
찍은	찍/VV+은/ETM
밴텀급	밴텀급/NNG
2회전에	2/SN+회전/NNB+에/JKB
대전한	대전/NNG+하/XSV+ㄴ/ETM
변정일	변정일/NNP
심판판정	심판/NNG+판정/NNG
1로	1/SN+로/JKB
지고나자	지/VV+고/EC+나/VX+자/EC
소동은	소동/NNG+은/JX
한국측	한국/NNP+측/NNB
코치석에서	코치석/NNG+에서/JKB
링위로	링위/NNG+로/JKB
뛰어올라	뛰어오르/VV+아/EC
주심에	주심/NNG+에/JKB
육박하며	육박/NNG+하/XSV+며/EC
폭행을	폭행/NNG+을/JKO
가하면서	가하/VV+면서/EC
링은	링/NNG+은/JX
흥분한	흥분/NNG+하/XSV+ㄴ/ETM
한국사람들로	한국/NNP+사람/NNG+들/XSN+로/JKB
야단법석이	야단법석/NNG+이/JKC
관중석으로부터	관중석/NNG+으로부터/JKB
의자와	의자/NNG+와/JC
방석이	방석/NNG+이/JKS
날아들고	날아들/VV+고/EC
플래스틱	플래스틱/NNG
물병이	물병/NNG+이/JKS
떨어졌다.	떨어지/VV+었/EP+다/EF+./SF
한심한	한심/XR+하/XSA+ㄴ/ETM
꼴은	꼴/NNG+은/JX
중계하는	중계/NNG+하/XSV+는/ETM
텔리비젼에	텔리비젼/NNG+에/JKB
생생히	생생히/MAG
텔리비전	텔리비전/NNG
여기저기서	여기저기/NNG+서/JKB
혀를	혀/NNG+를/JKO
차는	차/NNG+는/JX
장면이었다.	장면/NNG+이/VCP+었/EP+다/EF+./SF
꼴불견은	꼴불견/NNG+은/JX
곳곳으로	곳곳/NNG+으로/JKB
전파되었을	전파/NNG+되/XSV+었/EP+을/ETM
해설자들부터	해설자/NNG+들/XSN+부터/JX
흥분하고	흥분/NNG+하/XSV+고/EC
3회전	3/SN+회전/NNB
시합이	시합/NNG+이/JKS
주심의	주심/NNG+의/JKG
판정이	판정/NNG+이/JKS
편파적이라고	편파/NNG+적/XSN+이/VCP+라고/EC
중언부언하면서	중언부언/NNG+하/XSV+면서/EC
냉정을	냉정/NNG+을/JKO
해설자들의	해설자/NNG+들/XSN+의/JKG
자세부터	자세/NNG+부터/JX
우리들에게는	우리/NP+들/XSN+에게/JKB+는/JX
패자가	패자/NNG+가/JKC
한국선수는	한국/NNP+선수/NNG+는/JX
링에서	링/NNG+에서/JKB
물러나지	물러나/VV+지/EC
농성하고,	농성/NNG+하/XSV+고/EC+,/SP
국제복싱연맹이	국제복싱연맹/NNP+이/JKS
B링에서	B/SL+링/NNG+에서/JKB
속행하려	속행/NNG+하/XSV+려/EC
집행부원들은	집행/NNG+부원/NNG+들/XSN+은/JX
전기를	전기/NNG+를/JKO
꺼버려	끄/VV+어/EC+버리/VX+어/EC
게임은	게임/NNG+은/JX
늦게까지	늦/VA+게/EC+까지/JX
중단되었다.	중단/NNG+되/XSV+었/EP+다/EF+./SF
심판의	심판/NNG+의/JKG
잃었다는	잃/VV+었/EP+다는/ETM
명백하다해도	명백/XR+하/XSA+다/EC+하/VX+아도/EC
진행의	진행/NNG+의/JKG
한끝을	한끝/NNG+을/JKO
폭력으로	폭력/NNG+으로/JKB
난장판을	난장판/NNG+을/JKO
한국권투	한국/NNP+권투/NNG
임원진과	임원진/NNG+과/JC
코칭스태프의	코칭스태프/NNG+의/JKG
과격한	과격/XR+하/XSA+ㄴ/ETM
용서받을	용서/NNG+받/VV+을/ETM
짓이다.	짓/NNG+이/VCP+다/EF+./SF
우리들이	우리/NP+들/XSN+이/JKS
애써서	애쓰/VV+어서/EC
차린	차리/VV+ㄴ/ETM
잔치마당,	잔치/NNG+마당/NNG+,/SP
모여온	모이/VV+어/EC+오/VX+ㄴ/ETM
재를	재/NNG+를/JKO
뿌린	뿌리/VV+ㄴ/ETM
짓이니까	짓/NNG+이/VCP+니까/EC
통탄스러운	통탄/NNG+스럽/XSA+ㄴ/ETM
난동이	난동/NNG+이/JKS
개최를	개최/NNG+를/JKO
자긍심에	자긍심/NNG+에/JKB
일격을	일격/NNG+을/JKO
가했다는	가하/VV+았/EP+다는/ETM
완성과	완성/NNG+과/JC
국제평화의	국제/NNG+평화/NNG+의/JKG
증진에	증진/NNG+에/JKB
뜻은	뜻/NNG+은/JX
승리에	승리/NNG+에/JKB
인간에게	인간/NNG+에게/JKB
성공보다	성공/NNG+보다/JKB
노력하는	노력/NNG+하/XSV+는/ETM
절감하게	절감/NNG+하/XSV+게/EC
만드는,	만들/VV+는/ETM+,/SP
돌이킬	돌이키/VV+ㄹ/ETM
일장소동이었다.	일장/NNG+소동/NNG+이/VCP+었/EP+다/EF+./SF
이기고	이기/VV+고/EC
일어서는	일어서/VV+는/ETM
모습들을	모습/NNG+들/XSN+을/JKO
배우는	배우/VV+는/ETM
뒤집힌	뒤집히/VV+ㄴ/ETM
추한	추하/VA+ㄴ/ETM
인간을	인간/NNG+을/JKO
주최하고	주최/NNG+하/XSV+고/EC
탈진한	탈진/NNG+하/XSV+ㄴ/ETM
몸이지만	몸/NNG+이/VCP+지만/EC
꼴찌를	꼴찌/NNG+를/JKO
결승선을	결승선/NNG+을/JKO
넘고마는	넘/VV+고/EC+말/VX+는/ETM
인간드라마의	인간/NNG+드라마/NNG+의/JKG
새해	새해/NNG
豫算案이	豫算案/SH+이/JKS
안은	안/VV+은/ETM
問題	問題/SH
19조	19/SN+조/NR
12억원	12/SN+억/NR+원/NNB
예산안을	예산안/NNG+을/JKO
확정했다.	확정/NNG+하/XSV+았/EP+다/EF+./SF
금년의	금년/NNG+의/JKG
17조	17/SN+조/NR
44억원보다	44/SN+억/NR+원/NNB+보다/JKB
10.9%가	10/SN+./SP+9/SN+%/SW+가/JKS
금년도	금년도/NNG
예산규모의	예산/NNG+규모/NNG+의/JKG
前年比	前年比/SH
증가율	증가/NNG+율/XSN
12.2%보다	12/SN+./SP+2/SN+%/SW+보다/JKB
포인트가	포인트/NNG+가/JKS
인플레를	인플레/NNG+를/JKO
유발할	유발/NNG+하/XSV+ㄹ/ETM
팽창예산이	팽창/NNG+예산/NNG+이/JKC
아니라고	아니/VCN+라고/EC
유발여부는	유발/NNG+여부/NNG+는/JX
차지하고서도	차지/NNG+하/XSV+고서/EC+도/JX
긴축예산이라고	긴축/NNG+예산/NNG+이/VCP+라고/EC
부르기에는	부르/VV+기/ETN+에/JKB+는/JX
저항감을	저항감/NNG+을/JKO
겉으로	겉/NNG+으로/JKB
숫자만으로는	숫자/NNG+만/JX+으로/JKB+는/JX
일반회계	일반/NNG+회계/NNG
증가율이	증가/NNG+율/XSN+이/JKC
10.9%인	10/SN+./SP+9/SN+%/SW+이/VCP+ㄴ/ETM
사실이나	사실/NNG+이/VCP+나/EC
금년부터	금년/NNG+부터/JX
지방으로	지방/NNG+으로/JKB
넘어가게	넘어가/VV+게/EC
담배소비세	담배/NNG+소비세/NNG
합치게	합치/VV+게/EC
12.2%의	12/SN+./SP+2/SN+%/SW+의/JKG
여기에다	여기/NP+에다/JKB
도로특별회계나	도로/NNG+특별/NNG+회계/NNG+나/JC
財特규모	財特/SH+규모/NNG
지출은	지출/NNG+은/JX
올해보다	올해/NNG+보다/JKB
대폭으로	대폭/NNG+으로/JKB
편성의	편성/NNG+의/JKG
기본방향으로	기본/NNG+방향/NNG+으로/JKB
국민복지의	국민/NNG+복지/NNG+의/JKG
증대와	증대/NNG+와/JKB
소득계층간,	소득/NNG+계층/NNG+간/NNB+,/SP
지역간	지역/NNG+간/NNB
시정을	시정/NNG+을/JKO
부문에의	부문/NNG+에/JKB+의/JKG
사업비는	사업비/NNG+는/JX
증액된	증액/NNG+되/XSV+ㄴ/ETM
경지정리와	경지/NNG+정리/NNG+와/JC
농업기계화	농업/NNG+기계/NNG+화/XSN
9억원에서	9/SN+억/NR+원/NNB+에서/JKB
19억원으로	19/SN+억/NR+원/NNB+으로/JKB
86.7%가	86/SN+./SP+7/SN+%/SW+가/JKS
의료보험	의료/NNG+보험/NNG
생활보호대상자	생활/NNG+보호/NNG+대상자/NNG
국민복지	국민/NNG+복지/NNG
예산도	예산/NNG+도/JX
7천	7/SN+천/NR
51억원에서	51/SN+억/NR+원/NNB+에서/JKB
69억원으로	69/SN+억/NR+원/NNB+으로/JKB
45.4%가	45/SN+./SP+4/SN+%/SW+가/JKS
증가되었다.	증가/NNG+되/XSV+었/EP+다/EF+./SF
복지와	복지/NNG+와/JC
형평을	형평/NNG+을/JKO
늘리면서	늘리/VV+면서/EC
안정기조를	안정/NNG+기조/NNG+를/JKO
흐트러뜨리지	흐트러뜨리/VV+지/EC
健全재정원칙을	健全/SH+재정/NNG+원칙/NNG+을/JKO
견지하려고	견지/NNG+하/XSV+려고/EC
예산당국의	예산/NNG+당국/NNG+의/JKG
고민이	고민/NNG+이/JKS
있었으리라고	있/VV+었/EP+으리라고/EC
짐작이	짐작/NNG+이/JKS
국가예산이란	국가/NNG+예산/NNG+이란/JX
시대적	시대/NNG+적/XSN
흐름과	흐름/NNG+과/JC
정책목표에서	정책/NNG+목표/NNG+에서/JKB
동떨어지게	동떨어지/VA+게/EC
편성될	편성/NNG+되/XSV+ㄹ/ETM
거세고,	거세/VA+어/EC+고/EC+,/SP
高度成長	高度成長/SH
누적되어온	누적/NNG+되/XSV+어/EC+오/VX+ㄴ/ETM
소득분배의	소득/NNG+분배/NNG+의/JKG
상대적	상대/NNG+적/XSN
악화현상을	악화/NNG+현상/NNG+을/JKO
시정해야	시정/NNG+하/XSV+아야/EC
현시점에서는	현시점/NNG+에서/JKB+는/JX
편성해서	편성/NNG+하/XSV+아서/EC
통화	통화/NNG
증발요인과	증발/NNG+요인/NNG+과/JC
기대심리의	기대/NNG+심리/NNG+의/JKG
고조로	고조/NNG+로/JKB
조성해	조성/NNG+하/XSV+아/EC
안정기조가	안정/NNG+기조/NNG+가/JKS
위험성을	위험/NNG+성/XSN+을/JKO
여건이다.	여건/NNG+이/VCP+다/EF+./SF
무너진다면	무너지/VV+ㄴ다면/EC
팽창예산의	팽창/NNG+예산/NNG+의/JKG
편성을	편성/NNG+을/JKO
것이며,	것/NNB+이/VCP+며/EC+,/SP
경제여건을	경제/NNG+여건/NNG+을/JKO
무시한	무시/NNG+하/XSV+ㄴ/ETM
국회에서의	국회/NNG+에서/JKB+의/JKG
예산심의에	예산/NNG+심의/NNG+에/JKB
안된다고	안/MAG+되/XSV+ㄴ다고/EC
믿는	믿/VV+는/ETM
與野정당은	與野/SH+정당/NNG+은/JX
복지사업을	복지/NNG+사업/NNG+을/JKO
公約으로	公約/SH+으로/JKB
공약사업의	공약/NNG+사업/NNG+의/JKG
전부를	전부/NNG+를/JKO
수야	수/NNB+야/JX
일부를	일부/NNG+를/JKO
예산에	예산/NNG+에/JKB
반영시킨다고	반영/NNG+시키/XSV+ㄴ다고/EC
정부재정	정부/NNG+재정/NNG
人氣를	人氣/SH+를/JKO
정부예산안의	정부/NNG+예산안/NNG+의/JKG
기도한다면	기도/NNG+하/XSV+ㄴ다면/EC
안정기조는	안정/NNG+기조/NNG+는/JX
유지될	유지/NNG+되/XSV+ㄹ/ETM
것이라.	것/NNB+이/VCP+라/EF+./SF
균형발전에	균형/NNG+발전/NNG+에/JKB
할애해야	할애/NNG+하/XSV+아야/EC
인정될	인정/NNG+되/XSV+ㄹ/ETM
방위비를	방위비/NNG+를/JKO
硬直性	硬直性/SH
재조정해서	재/XPN+조정/NNG+하/XSV+아서/EC
재원을	재원/NNG+을/JKO
염출해	염출/NNG+하/XSV+아/EC
옳을	옳/VA+을/ETM
高복지에는	高/SH+복지/NNG+에/JKB+는/JX
高부담이	高/SH+부담/NNG+이/JKS
전제가	전제/NNG+가/JKC
고복지를	고복지/NNG+를/JKO
지향하면서	지향/NNG+하/XSV+면서/EC
서민층의	서민/NNG+층/XSN+의/JKG
稅부담을	稅/SH+부담/NNG+을/JKO
줄이기	줄이/VV+기/ETN
稅源포착,	稅源/SH+포착/NNG+,/SP
稅外	稅外/SH
경직성	경직/NNG+성/XSN
경비의	경비/NNG+의/JKG
재조정이	재/XPN+조정/NNG+이/JKS
경비에	경비/NNG+에/JKB
思考부터	思考/SH+부터/JX
전환시킬	전환/NNG+시키/XSV+ㄹ/ETM
一般會計의	一般會計/SH+의/JKG
80%를	80/SN+%/SW+를/JKO
점하는	점하/VV+는/ETM
지출구조를	지출/NNG+구조/NNG+를/JKO
한정된	한정/NNG+되/XSV+ㄴ/ETM
재원만으로	재원/NNG+만/JX+으로/JKB
복지증대에	복지/NNG+증대/NNG+에/JKB
충족시키기에는	충족/NNG+시키/XSV+기/ETN+에/JKB+는/JX
南北韓	南北韓/SH
유엔總會	유엔/NNP+總會/SH
演說	演說/SH
國力	國力/SH
浪費없이	浪費/SH+없이/MAG
對話해	對話/SH+하/XSV+아/EC
보자	보/VX+자/EC
끈질긴	끈질기/VA+ㄴ/ETM
유엔기피	유엔/NNP+기피/NNG
태도에도	태도/NNG+에/JKB+도/JX
이룩되어야	이룩/XR+되/XSV+어야/EC
기본방침을	기본/NNG+방침/NNG+을/JKO
회원국들에게	회원국/NNG+들/XSN+에게/JKB
한국외교의	한국/NNP+외교/NNG+의/JKG
성과로	성과/NNG+로/JKB
파수꾼과	파수/NNG+꾼/XSN+과/JC
仲裁役으로서	仲裁役/SH+으로서/JKB
기능과	기능/NNG+과/JC
회의적인	회의/NNG+적/XSN+이/VCP+ㄴ/ETM
있어왔지만	있/VV+어/EC+오/VX+았/EP+지만/EC
유엔은	유엔/NNP+은/JX
가입하고	가입/NNG+하/XSV+고/EC
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
최대·최강의	최대/NNG+·/SP+최강/NNG+의/JKG
평화유지	평화/NNG+유지/NNG
안정보장의	안정/NNG+보장/NNG+의/JKG
기구임에	기구/NNG+이/VCP+ㅁ/ETN+에/JKB
틀림없는	틀림없/VA+는/ETM
동서간의	동서/NNG+간/NNB+의/JKG
新데탕트무드가	新/SH+데탕트/NNG+무드/NNG+가/JKS
점증하는	점증/NNG+하/XSV+는/ETM
이즈음	이즈음/NNG
유엔에서	유엔/NNP+에서/JKB
이니시어티브에	이니시어티브/NNG+에/JKB
방안,	방안/NNG+,/SP
번영에	번영/NNG+에/JKB
천명할	천명/NNG+하/XSV+ㄹ/ETM
對유엔	對/SH+유엔/NNP
통일외교에	통일/NNG+외교/NNG+에/JKB
章을	章/SH+을/JKO
마련했다고	마련/NNG+하/XSV+았/EP+다고/EC
전세계	전/MM+세계/NNG
유엔과	유엔/NNP+과/JC
인연을	인연/NNG+을/JKO
드물	드물/VA+ㄹ/ETM
1948년	1948/SN+년/NNB
대한민국을	대한민국/NNP+을/JKO
건국의	건국/NNG+의/JKG
産婆役으로	産婆役/SH+으로/JKB
시작하여	시작/NNG+하/XSV+아/EC
한국전쟁때는	한국/NNP+전쟁/NNG+때/NNG+는/JX
침략자로	침략자/NNG+로/JKB
